Bus Name,Stop Order,Stop Name,latitude,longitude
Ajmeri Glory,5,GPO,23.7289296,90.41140102
Ajmeri Glory,6,Paltan,23.7313082,90.4120882
Ajmeri Glory,7,Kakrail,23.7385398,90.4071475
Ajmeri Glory,8,Shantinagar,23.7385358,90.4139156
Ajmeri Glory,9,Malibagh Moor,23.74419188,90.41424554
Ajmeri Glory,10,Mouchak,24.023552,90.292921
Ajmeri Glory,11,Nabisco,23.7692591,90.4012227
Ajmeri Glory,12,Mohakhali,23.7799893,90.40832417
Ajmeri Glory,13,Sainik Club,23.79122995,90.399527
Ajmeri Glory,14,Banani,23.790321,90.4076959
Ajmeri Glory,15,Kakali,23.820295,90.3682928
Ajmeri Glory,16,Staff Road,23.8127577,90.4016567
Ajmeri Glory,17,MES,23.9161376,90.2607105
Ajmeri Glory,18,Shewra,23.81799371,90.41360546
Ajmeri Glory,19,Kuril Bishwa Road,23.8212083,90.4195365
Ajmeri Glory,20,Khilkhet,23.8351324,90.43511207
Ajmeri Glory,21,Airport,23.8602996,90.39876
Ajmeri Glory,22,Jashimuddin (Uttara),23.8608721,90.4004138
Ajmeri Glory,23,Rajlakshmi,23.8644797,90.4002124
Ajmeri Glory,24,Azampur,23.8665496,90.4100105
Ajmeri Glory,25,House Building,23.8748268,90.4006897
Ajmeri Glory,26,Abdullahpur,23.5542881,90.473867
Ajmeri Glory,27,Tongi,23.9084932,90.3980037
Ajmeri Glory,28,Station Road,23.73221943,90.42409168
Ajmeri Glory,29,Mill Gate,23.89620633,90.39942912
Ajmeri Glory,30,Board Bazar,23.9452074,90.3825171
Ajmeri Glory,31,Gazipur Bypass,23.9770994,90.3741474
Ajmeri Glory,32,Konabari,24.01083,90.320936
Ajmeri Glory,33,Chandra,23.3684957,90.0391387
Ajmi,1,Dhamrai,23.9183476,90.2142069
Ajmi,2,Savar,23.8477,90.2587
Ajmi,3,Hemayetpur,23.7931994,90.2714229
Ajmi,4,Aminbazar,23.7864942,90.330182
Ajmi,5,Gabtoli,23.6324042,90.48826063
Ajmi,6,Technical,24.15329785,90.67259393
Ajmi,7,Kallyanpur,23.7806848,90.3613321
Ajmi,8,Shyamoli,23.7775998,90.3601928
Ajmi,9,Shishu Mela,23.773007,90.3678804
Ajmi,10,College Gate,23.7503675,90.4199166
Ajmi,11,Asad gate,23.7601299,90.3727245
Ajmi,12,Dhanmondi 27,23.75404782,90.37137816
Ajmi,13,Dhanmondi 32,23.73802075,90.3859514
Ajmi,14,Kalabagan,23.7487244,90.37919898
Ajmi,15,City College,23.7396837,90.3828522
Ajmi,16,New Market,23.73277515,90.3828117
Ajmi,17,Nilkhet,23.7329358,90.3860855
Ajmi,18,Azimpur,23.7252946,90.3834641
Ajmi,19,Bakshi Bazar,23.7241348,90.3955397
Ajmi,20,Gulistan,23.7249037,90.4120785
Ajmi,21,Chittagong Road,23.6972599,90.5094673
Akash,1,Kadamtali,23.6867705,90.454595
Akash,2,Keraniganj,23.7005013,90.3826441
Akash,3,Babubazar,23.7125524,90.4031333
Akash,4,Naya Bazar,23.713843,90.4045497
Akash,5,Golap Shah Mazar,23.7249921,90.410846
Akash,6,GPO,23.7289296,90.41140102
Akash,7,Paltan,23.7313082,90.4120882
Akash,8,Kakrail,23.7385398,90.4071475
Akash,9,Shantinagar,23.7385358,90.4139156
Akash,10,Malibagh Moor,23.74419188,90.41424554
Akash,11,Mouchak,24.023552,90.292921
Akash,12,Malibagh Railgate,23.7496972,90.4126346
Akash,13,Hazipara,23.8632798,90.4147242
Akash,14,Rampura Bazar,23.7602428,90.4186208
Akash,15,Rampura Bridge,23.76802955,90.42334025
Akash,16,Merul,23.7718576,90.4250807
Akash,17,Badda,23.77654245,90.44630117
Akash,18,Shahjadpur,23.7884856,90.4237741
Akash,19,Bashtola,23.79440473,90.42251274
Akash,20,Notun Bazar,23.7982944,90.4239709
Akash,21,Nadda,23.809823,90.4220557
Akash,22,Bashundhara,23.8239025,90.4699552
Akash,23,Jamuna Future Park,23.8135723,90.42402377
Akash,24,Kuril Bishwa Road,23.8212083,90.4195365
Akash,25,Khilkhet,23.8351324,90.43511207
Akash,26,Airport,23.8602996,90.39876
Akash,27,Jashimuddin (Uttara),23.8608721,90.4004138
Akash,28,Rajlakshmi,23.8644797,90.4002124
Akash,29,Azampur,23.8665496,90.4100105
Akash,30,House Building,23.8748268,90.4006897
Akash,31,Abdullahpur,23.5542881,90.473867
Akash,32,Tongi,23.9084932,90.3980037
Akik,1,Ansar Camp,23.7929307,90.3532421
Akik,2,Mirpur 1,23.801924,90.3523456
Akik,3,Sony Cinema Hall,23.8004874,90.3553934
Akik,4,Mirpur 2,23.8063402,90.35702594
Akik,5,Mirpur 10,23.8083649,90.3682614
Akik,6,Mirpur 11,23.8202931,90.3710408
Akik,7,Purobi,23.8138963,90.4240396
Akik,8,Kalshi,23.8202931,90.3710408
Akik,9,ECB Square,23.82257685,90.39343328
Akik,10,MES,23.9161376,90.2607105
Akik,11,Shewra,23.81799371,90.41360546
Akik,12,Kuril Bishwa Road,23.8212083,90.4195365
Akik,13,Jamuna Future Park,23.8135723,90.42402377
Akik,14,Bashundhara,23.8239025,90.4699552
Akik,15,Nadda,23.809823,90.4220557
Akik,16,Notun Bazar,23.7982944,90.4239709
Akik,17,Bashtola,23.79440473,90.42251274
Akik,18,Shahjadpur,23.7884856,90.4237741
Akik,19,Uttar Badda,23.7857042,90.4256113
Al Makka,1,Motijheel,23.7272598,90.4211957
Al Makka,2,Gulistan,23.7249037,90.4120785
Al Makka,3,GPO,23.7289296,90.41140102
Al Makka,4,Paltan,23.7313082,90.4120882
Al Makka,5,Kakrail,23.7385398,90.4071475
Al Makka,6,Shantinagar,23.7385358,90.4139156
Al Makka,7,Malibagh Moor,23.74419188,90.41424554
Al Makka,8,Mouchak,24.023552,90.292921
Al Makka,9,Mogbazar,23.7543737,90.40959957
Al Makka,10,Nabisco,23.7692591,90.4012227
Al Makka,11,Mohakhali,23.7799893,90.40832417
Al Makka,12,Chairman Bari,23.71096925,90.41095483
Al Makka,13,Kakali,23.820295,90.3682928
Al Makka,14,Banani,23.790321,90.4076959
Al Makka,15,ECB Square,23.82257685,90.39343328
Al Makka,16,Kalshi,23.8202931,90.3710408
Al Makka,17,Purobi,23.8138963,90.4240396
Al Makka,18,Mirpur 10,23.8083649,90.3682614
Al Makka,19,Mirpur 2,23.8063402,90.35702594
Al Makka,20,Mirpur 1,23.801924,90.3523456
Al Madina Plus One,1,Nandan Park,24.0300592,90.239812
Al Madina Plus One,2,Zirani Bazar,23.9938043,90.2551426
Al Madina Plus One,3,Baipayl,23.9380015,90.270064
Al Madina Plus One,4,Nobinagar,23.9123657,90.2605169
Al Madina Plus One,5,Savar,23.8477,90.2587
Al Madina Plus One,6,Hemayetpur,23.7931994,90.2714229
Al Madina Plus One,7,Amin Bazar,23.7896155,90.3240987
Al Madina Plus One,8,Gabtoli,23.6324042,90.48826063
Al Madina Plus One,9,Technical,24.15329785,90.67259393
Al Madina Plus One,10,Kallyanpur,23.7806848,90.3613321
Al Madina Plus One,11,Shyamoli,23.7775998,90.3601928
Al Madina Plus One,12,Shishu Mela,23.773007,90.3678804
Al Madina Plus One,13,College Gate,23.7503675,90.4199166
Al Madina Plus One,14,Asad Gate,23.7601299,90.3727245
Al Madina Plus One,15,Khamar Bari,23.7591274,90.383882
Al Madina Plus One,16,Farmgate,23.7590394,90.3871113
Al Madina Plus One,17,Kawran Bazar,23.7514308,90.3948605
Al Madina Plus One,18,Bangla Motor,23.7458397,90.3949387
Al Madina Plus One,19,Shahbag,23.7401951,90.3901161
Al Madina Plus One,20,High Court,23.7305,90.4034
Al Madina Plus One,21,Press Club,22.967864,89.8176179
Al Madina Plus One,22,Paltan,23.7313082,90.4120882
Al Madina Plus One,23,GPO,23.7289296,90.41140102
Al Madina Plus One,24,Gulistan,23.7249037,90.4120785
Al Madina Plus One,25,Motijheel,23.7272598,90.4211957
